"rooms";"separate_rooms";"area";"sity";"street";"house";"floor";"max_floor";"house_type";"total_square";"live_square";"kitchen_square";"year";"repare_year";"balcony";"total_price";"price"
"к";"3";"Пар";"Минск";"Солтыса ул.";"86";"5";"9";"п";"82,3";"17,9";"12,6";"2006";"";"л";"50884";"2844"
"к";"2";"Зав";"Минск";"Уборевича ул.";"76";"2";"5";"п";"49,9";"17,2";"6,2";"1970";"";"";"51312";"2983"
"к";"3";"Зав";"Минск";"Партизанский просп.";"71-а";"4";"4";"к";"75,2";"32,1";"8,8";"1958";"";"бзв";"51312";"1599"
"к";"4";"Окт";"Минск";"Асаналиева ул.";"5";"1";"9";"п";"80,1";"13,9";"7,1";"1980";"";"";"51312";"3688"
"к";"3";"Пер";"Минск";"Рогачевская ул.";"7";"5";"9";"п";"68";"18";"9";"1995";"";"л";"51312";"2850"
"к";"2";"Фр";"Минск";"Жудро ул.";"4";"1в";"5";"к";"52,4";"16,7";"6,6";"1970";"2012";"-";"51312";"3070"
"к";"1";"Мос";"Минск";"Есенина ул.";"20";"1в";"9";"п";"85,3";"17";"—";"1986";"";"л";"52381";"3081"
"к";"2";"Окт";"Минск";"Пуховичская ул.";"12";"2";"3";"к";"42,6";"16,4";"—";"1960";"";"бз";"53236";"3252"
"к";"2";"Окт";"Минск";"Казинца ул.";"110";"2";"5";"п";"50";"17,2";"6,1";"1969";"";"бзв";"53448";"3107"
"к";"2";"Зав";"Минск";"Илимская ул.";"5";"8";"9";"п";"49,3";"12,1";"7";"1984";"";"-";"53450";"4417"
"к";"2";"Лен";"Минск";"Прушинских ул.";"14";"9";"15";"п";"61,1";"13,2";"9,5";"2006";"";"лз";"53450";"4049"
"к";"1";"Лен";"Минск";"Прушинских ул.";"10";"1";"9";"п";"40,3";"11,8";"9";"2002";"";"бз";"53450";"4530"
"к";"3";"Лен";"Минск";"Сырокомли ул.";"12";"4";"10";"сб";"83,7";"17";"10";"2009";"";"";"53450";"3145"
"к";"2";"Окт";"Минск";"Кижеватова ул.";"76";"1";"9";"п";"49";"13,9";"7,2";"1977";"";"-";"53450";"3846"
"к";"2";"Пар";"Минск";"Багратиона 2-й пер.";"19";"3";"9";"п";"50,5";"13,8";"7,1";"1974";"";"л";"53450";"3874"
"к";"2";"Пер";"Минск";"Калиновского ул.";"64";"5";"5";"п";"49,8";"17,2";"6,1";"1969";"";"бз";"53450";"3107"
"к";"2";"Сов";"Минск";"Гамарника ул.";"35";"3";"5";"к";"52,1";"16,4";"6,4";"1969";"";"бз";"53450";"3256"
"к";"2";"Фр";"Минск";"Якубовского ул.";"25";"6";"9";"п";"57,1";"13,9";"9,2";"1982";"";"л";"53450";"3846"
"к";"3";"Моск";"Брест";"Краснознаменная ул.";"";"4";"9";"п";"80,3";"46,2";"8,7";"2009";"";"2л";"53450";"1157"
"к";"3";"Фр";"Минск";"Матусевича ул.";"90";"7";"10";"п";"75,2";"17,1";"10,5";"2004";"";"-";"54305";"3175"
"к";"3";"Цен";"Минск";"Победителей просп.";"97-1";"7";"9";"п";"64,1";"16,2";"8,7";"1990";"";"";"54519";"3365"
